q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp
0,4.1NR,7.1NR,1.69767441860465,0.302325581395349,0.178082191780822,0.178082191780822,0.302325581395349
0,2.11NR,4.12NR,1.47817047817048,0.521829521829522,0.353023909985935,0.353023909985935,0.521829521829522
0,3.13NR,4.12NR,1.64580559254328,0.354194407456724,0.215210355987055,0.215210355987055,0.354194407456724
0,4.1NR,2.11NR,1.50387596899225,0.496124031007752,0.329896907216495,0.329896907216495,0.496124031007752
0,2.11NR,3.13NR,1.68314321926489,0.316856780735107,0.188253012048193,0.188253012048193,0.316856780735108
0,7.1NR,3.7NR,1.6728624535316,0.327137546468401,0.195555555555555,0.195555555555555,0.327137546468401
0,6.13NR,3.13NR,1.70833333333333,0.291666666666667,0.170731707317073,0.170731707317073,0.291666666666667
0,4.1NR,4.12NR,1.47052023121387,0.529479768786127,0.360062893081761,0.360062893081761,0.529479768786127
0,4.12NR,3.13NR,1.64580559254328,0.354194407456724,0.215210355987055,0.215210355987055,0.354194407456724
0,6.16NR,6.13NR,1.68407643312102,0.315923566878981,0.187594553706505,0.187594553706505,0.315923566878981
0,7.1NR,2.11NR,1.65308254963427,0.346917450365726,0.209860935524652,0.209860935524652,0.346917450365726
0,3.7NR,2.11NR,1.64941176470588,0.350588235294118,0.212553495007133,0.212553495007133,0.350588235294118
0,3.7NR,4.1NR,1.68658698539177,0.313413014608234,0.185826771653543,0.185826771653543,0.313413014608234
0,4.12NR,2.11NR,1.47817047817048,0.521829521829522,0.353023909985935,0.353023909985935,0.521829521829522
0,6.16NR,4.12NR,1.66176470588235,0.338235294117647,0.203539823008849,0.203539823008849,0.338235294117647
0,2.11NR,3.13NR,1.68314321926489,0.316856780735107,0.188253012048193,0.188253012048193,0.316856780735108
0,4.12NR,7.1NR,1.64309031556039,0.356909684439608,0.217218543046358,0.217218543046358,0.356909684439608
0,7.1NR,3.13NR,1.53083109919571,0.46916890080429,0.306479859894921,0.306479859894921,0.46916890080429
0,6.16NR,3.7NR,1.67329545454545,0.326704545454545,0.195246179966044,0.195246179966044,0.326704545454545
0,7.1NR,4.1NR,1.69767441860465,0.302325581395349,0.178082191780822,0.178082191780822,0.302325581395349
0,6.13NR,3.7NR,1.43918053777209,0.560819462227913,0.389679715302491,0.389679715302491,0.560819462227913
0,2.11NR,7.1NR,1.65308254963427,0.346917450365726,0.209860935524652,0.209860935524652,0.346917450365726
0,6.16NR,6.13NR,1.68407643312102,0.315923566878981,0.187594553706505,0.187594553706505,0.315923566878981
0,7.1NR,6.16NR,1.51911220715166,0.480887792848335,0.316558441558442,0.316558441558442,0.480887792848335
0,3.13NR,4.12NR,1.64580559254328,0.354194407456724,0.215210355987055,0.215210355987055,0.354194407456724
0,6.13NR,7.1NR,1.67117117117117,0.328828828828829,0.196765498652291,0.196765498652291,0.328828828828829
0,7.1NR,4.1NR,1.69767441860465,0.302325581395349,0.178082191780822,0.178082191780822,0.302325581395349
0,6.13NR,6.16NR,1.68407643312102,0.315923566878981,0.187594553706505,0.187594553706505,0.315923566878981
0,3.13NR,7.1NR,1.53083109919571,0.46916890080429,0.306479859894921,0.306479859894921,0.46916890080429
0,6.13NR,4.1NR,1.69784172661871,0.302158273381295,0.177966101694915,0.177966101694915,0.302158273381295
0,4.12NR,2.11NR,1.47817047817048,0.521829521829522,0.353023909985935,0.353023909985935,0.521829521829522
0,4.12NR,6.13NR,1.64389697648376,0.356103023516237,0.216621253405995,0.216621253405995,0.356103023516237
0,4.1NR,3.7NR,1.68658698539177,0.313413014608234,0.185826771653543,0.185826771653543,0.313413014608234
0,4.1NR,2.11NR,1.50387596899225,0.496124031007752,0.329896907216495,0.329896907216495,0.496124031007752
0,4.12NR,3.7NR,1.62315270935961,0.376847290640394,0.232169954476479,0.232169954476479,0.376847290640394
0,3.13NR,3.7NR,1.66510172143975,0.33489827856025,0.201127819548872,0.201127819548872,0.33489827856025
0,4.12NR,2.11NR,1.47817047817048,0.521829521829522,0.353023909985935,0.353023909985935,0.521829521829522
0,6.13NR,3.7NR,1.43918053777209,0.560819462227913,0.389679715302491,0.389679715302491,0.560819462227913
0,4.1NR,6.13NR,1.69784172661871,0.302158273381295,0.177966101694915,0.177966101694915,0.302158273381295
0,3.13NR,7.1NR,1.53083109919571,0.46916890080429,0.306479859894921,0.306479859894921,0.46916890080429
0,4.12NR,3.7NR,1.62315270935961,0.376847290640394,0.232169954476479,0.232169954476479,0.376847290640394
0,2.11NR,3.7NR,1.64941176470588,0.350588235294118,0.212553495007133,0.212553495007133,0.350588235294118
0,7.1NR,2.11NR,1.65308254963427,0.346917450365726,0.209860935524652,0.209860935524652,0.346917450365726
0,3.13NR,4.12NR,1.64580559254328,0.354194407456724,0.215210355987055,0.215210355987055,0.354194407456724
0,6.13NR,3.7NR,1.43918053777209,0.560819462227913,0.389679715302491,0.389679715302491,0.560819462227913
0,7.1NR,6.13NR,1.67117117117117,0.328828828828829,0.196765498652291,0.196765498652291,0.328828828828829
0,6.16NR,4.1NR,1.68824306472919,0.311756935270806,0.184663536776213,0.184663536776213,0.311756935270806
0,6.13NR,6.16NR,1.68407643312102,0.315923566878981,0.187594553706505,0.187594553706505,0.315923566878981
0,4.12NR,6.16NR,1.66176470588235,0.338235294117647,0.203539823008849,0.203539823008849,0.338235294117647
